Data,Bolsonaro,Huck,Doria,Lula,Ciro,Trajano,Mandetta,Amoedo
2021-01-01,83.2,40.1,22.8,40.3,28.6,16.54,11.96,17.6544945445452
2021-01-02,83.2,40.5,22.3,41.3,28.1,16.45,11.74,14.6374536223131
2021-01-03,83.2,41.5,22.9,38.7,29.0,18.26,11.52,16.5059601422531
2021-01-04,83.2,43.2,23.7,33.1,30.4,13.56,11.65,17.0678015321078
2021-01-05,83.2,48.9,25.0,35.2,35.7,14.25,11.51,16.2020488035728
2021-01-06,83.4,37.3,23.9,40.1,39.8,14.85,11.38,15.4821701179165
2021-01-07,83.2,39.4,26.2,40.2,38.6,14.65,11.38,15.5781488593839
2021-01-08,83.0,40.6,29.1,40.2,38.6,14.38,11.36,15.0793355418768
2021-01-09,81.4,40.2,28.0,42.7,38.1,14.56,11.35,15.2018321680127
2021-01-10,81.5,40.3,27.6,42.4,36.9,14.87,11.33,15.677039576895
2021-01-11,80.6,40.1,27.9,43.6,34.2,15.43,11.42,16.2578778786242
2021-01-12,77.8,42.5,26.2,39.0,32.0,15.55,11.58,16.7192490903766
2021-01-13,76.6,43.0,24.1,40.6,31.9,15.65,11.76,17.0678015321078
2021-01-14,75.3,48.4,22.0,37.1,31.9,16.15,11.88,16.2020488035728
2021-01-15,72.1,42.3,25.0,38.4,32.0,13.29,12.12,17.6544945445452
2021-01-16,68.8,43.9,25.2,38.1,31.3,12.45,12.22,17.1746991328389
2021-01-17,66.3,44.1,43.9,34.8,32.6,12.23,12.33,16.7125507264237
2021-01-18,67.97,45.52,34.19,35.62,31.54,11.97,13.07,16.3815134950295
2021-01-19,64.89,45.14,33.65,36.44,33.7,11.78,12.81,16.2578906896336
2021-01-20,65.42,45.85,33.16,38.49,34.49,13.41,12.68,16.5059601422531
2021-01-21,68.38,44.93,34.16,37.65,34.09,13.56,12.61,15.3784004967783
2021-01-22,68.38,39.67,33.44,39.95,33.92,12.88,12.45,15.3499446087253
2021-01-23,68.38,34.46,29.36,38.68,33.22,12.81,12.06,14.6374536223131
2021-01-24,69.38,34.52,25.6,36.03,24.51,12.75,11.67,15.3484610466064
2021-01-25,67.38,34.83,24.86,35.63,23.53,12.43,11.81,15.5029900623212
2021-01-26,67.38,34.25,24.43,35.43,25.15,12.77,11.86,15.0149946270884
2021-01-27,67.38,34.87,23.48,36.09,26.87,12.56,11.71,15.3344600239034
2021-01-28,68.26,37.14,23.68,35.33,29.44,12.43,11.84,15.1987455667303
2021-01-29,69.38,38.09,23.28,35.29,28.74,12.12,11.95,16.026396305052
2021-01-30,69.38,38.84,23.82,36.45,34.87,11.95,11.87,16.6012656399666
2021-01-31,69.38,40.2,23.85,33.27,35.14,11.82,11.78,17.8235777987816
2021-02-01,64.22,35.81,21.28,39.15,30.14,11.32,11.62,18.0024392522033
2021-02-02,63.81,34.18,19.68,40.03,26.3,11.13,11.23,17.1138670182892
2021-02-03,63.97,33.02,17.98,39.08,25.18,11.14,11.13,16.016485835863
2021-02-04,62.07,32.56,17.88,43.56,25.06,11.16,11.07,15.533871776823
2021-02-05,59.1,32.6,17.28,41.85,25.31,11.18,11.03,15.3078166854578
2021-02-06,58.67,30.75,16.87,41.06,24.71,12.39,11.11,15.0573465049604
2021-02-07,61.32,43.62,17.62,36.33,19.75,13.57,11.18,15.7532644859856
2021-02-08,64.44,44.04,19.86,40.34,27.29,14.49,11.11,15.4789626796704
2021-02-09,64.63,45.62,21.87,41.78,27.77,17.03,11.38,15.2243598406476
2021-02-10,61.67,46.21,22.27,45.11,28.89,19.39,11.32,15.0024733768032
2021-02-11,62.1,46.98,22.16,50.99,28.48,20.4,11.35,14.6618240580769
2021-02-12,63.65,46.32,21.26,51.92,27.71,20.85,11.28,15.3206622809788
2021-02-13,61.55,39.17,21.03,50.44,28.16,22.09,11.26,15.8778490067331
2021-02-14,65.31,40.19,21.68,51.89,29.34,23.32,11.24,16.4766400623494
2021-02-15,63.98,41.29,22.45,51.92,29.7,22.61,11.17,16.8865271310324
